Using command line value for config of json/experiments/TournoumentConfigs/Catan_TradeSurplus_3P_200_Fair.json
Game: Catan, Players: 3
Game: Catan, Players: 3, Mode: EXHAUSTIVE, TotalGames: 198, GamesPerMatchup: 33
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::invokeCleaner has been called by nonapi.io.github.classgraph.utils.FileUtils (file:/Users/denizgencoatilla/TabletopGames/target/TAG.jar)
WARNING: Please consider reporting this to the maintainers of class nonapi.io.github.classgraph.utils.FileUtils
WARNING: sun.misc.Unsafe::invokeCleaner will be removed in a future release
Playing Catan
[Catan_1,Catan_2,PhaseBasedEnsemblePlayer]
[LLMActionPlayer] API call took 627 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 434 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 498 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 512 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 537 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 587 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 559 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 540 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 513 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 518 ms (model=GEMINI size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 358 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 473 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 511 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 544 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 504 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 833 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 708 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 600 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 831 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 926 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 761 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 1120 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 802 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 960 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 829 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 840 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 1174 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 782 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 772 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 938 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 658 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 862 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 711 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 799 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 743 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 746 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 792 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 749 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 774 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 750 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 730 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 824 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 960 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 763 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 907 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 910 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 753 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 751 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 706 ms (model=GEMINI size=LARGE)
[LOSE_GAME,LOSE_GAME,WIN_GAME]
[LLMActionPlayer] API call took 645 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 955 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 654 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 665 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 752 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 964 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 920 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 652 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 755 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 653 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 796 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 730 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 541 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 827 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 727 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 599 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 807 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 678 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 723 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 827 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 764 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 852 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 796 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 844 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 645 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 822 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 610 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 854 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 495 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 703 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 518 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 533 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 612 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 489 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 692 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 613 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 608 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 541 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 576 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 676 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 547 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 617 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 692 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 538 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 737 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 604 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 827 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 490 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 560 ms (model=GEMINI size=LARGE)
[WIN_GAME,LOSE_GAME,LOSE_GAME]
[LLMActionPlayer] API call took 637 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 734 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 585 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 467 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 585 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 551 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 874 ms (model=GEMINI size=LARGE)
